animal_de,start_utc,end_utc,year_for_pillar,stem,branch,element,yin_yang,note
Hase,1987-02-04T08:51:39.682616+00:00,1988-02-04T14:42:49.262695+00:00,1987,Ding,Mao,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,1988-02-04T14:42:49.262695+00:00,1989-02-03T20:27:10.151366+00:00,1988,Wu,Chen,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,1989-02-03T20:27:10.151366+00:00,1990-02-04T02:14:00.454101+00:00,1989,Ji,Si,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,1990-02-04T02:14:00.454101+00:00,1991-02-04T08:08:23.833007+00:00,1990,Geng,Wu,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,1991-02-04T08:08:23.833007+00:00,1992-02-04T13:48:16.655273+00:00,1991,Xin,Wei,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,1992-02-04T13:48:16.655273+00:00,1993-02-03T19:37:10.004882+00:00,1992,Ren,Shen,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,1993-02-03T19:37:10.004882+00:00,1994-02-04T01:30:55.151366+00:00,1993,Gui,You,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,1994-02-04T01:30:55.151366+00:00,1995-02-04T07:12:51.020507+00:00,1994,Jia,Xu,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,1995-02-04T07:12:51.020507+00:00,1996-02-04T13:07:52.631835+00:00,1995,Yi,Hai,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,1996-02-04T13:07:52.631835+00:00,1997-02-03T19:01:56.674804+00:00,1996,Bing,Zi,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,1997-02-03T19:01:56.674804+00:00,1998-02-04T00:56:52.133788+00:00,1997,Ding,Chou,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,1998-02-04T00:56:52.133788+00:00,1999-02-04T06:57:03.120116+00:00,1998,Wu,Yin,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,1999-02-04T06:57:03.120116+00:00,2000-02-04T12:40:22.924804+00:00,1999,Ji,Mao,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,2000-02-04T12:40:22.924804+00:00,2001-02-03T18:28:50.786132+00:00,2000,Geng,Chen,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,2001-02-03T18:28:50.786132+00:00,2002-02-04T00:24:04.262695+00:00,2001,Xin,Si,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,2002-02-04T00:24:04.262695+00:00,2003-02-04T06:05:20.581054+00:00,2002,Ren,Wu,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,2003-02-04T06:05:20.581054+00:00,2004-02-04T11:56:12.143554+00:00,2003,Gui,Wei,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,2004-02-04T11:56:12.143554+00:00,2005-02-03T17:43:02.885741+00:00,2004,Jia,Shen,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,2005-02-03T17:43:02.885741+00:00,2006-02-03T23:27:15.864257+00:00,2005,Yi,You,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,2006-02-03T23:27:15.864257+00:00,2007-02-04T05:18:12.700195+00:00,2006,Bing,Xu,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,2007-02-04T05:18:12.700195+00:00,2008-02-04T11:00:24.389648+00:00,2007,Ding,Hai,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,2008-02-04T11:00:24.389648+00:00,2009-02-03T16:49:48.500976+00:00,2008,Wu,Zi,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,2009-02-03T16:49:48.500976+00:00,2010-02-03T22:47:50.288085+00:00,2009,Ji,Chou,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,2010-02-03T22:47:50.288085+00:00,2011-02-04T04:32:56.000976+00:00,2010,Geng,Yin,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,2011-02-04T04:32:56.000976+00:00,2012-02-04T10:22:22.749023+00:00,2011,Xin,Mao,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,2012-02-04T10:22:22.749023+00:00,2013-02-03T16:13:25.297851+00:00,2012,Ren,Chen,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,2013-02-03T16:13:25.297851+00:00,2014-02-03T22:03:15.776366+00:00,2013,Gui,Si,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Pferd,2014-02-03T22:03:15.776366+00:00,2015-02-04T03:58:27.495116+00:00,2014,Jia,Wu,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Ziege,2015-02-04T03:58:27.495116+00:00,2016-02-04T09:46:02.182616+00:00,2015,Yi,Wei,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
Affe,2016-02-04T09:46:02.182616+00:00,2017-02-03T15:34:03.676757+00:00,2016,Bing,Shen,Fire,Yang,Li-Chun-based (tropical sun lon=315°)
Hahn,2017-02-03T15:34:03.676757+00:00,2018-02-03T21:28:29.252929+00:00,2017,Ding,You,Fire,Yin,Li-Chun-based (tropical sun lon=315°)
Hund,2018-02-03T21:28:29.252929+00:00,2019-02-04T03:14:19.350585+00:00,2018,Wu,Xu,Earth,Yang,Li-Chun-based (tropical sun lon=315°)
Schwein,2019-02-04T03:14:19.350585+00:00,2020-02-04T09:03:19.291991+00:00,2019,Ji,Hai,Earth,Yin,Li-Chun-based (tropical sun lon=315°)
Ratte,2020-02-04T09:03:19.291991+00:00,2021-02-03T14:58:46.391601+00:00,2020,Geng,Zi,Metal,Yang,Li-Chun-based (tropical sun lon=315°)
Büffel,2021-02-03T14:58:46.391601+00:00,2022-02-03T20:50:46.508788+00:00,2021,Xin,Chou,Metal,Yin,Li-Chun-based (tropical sun lon=315°)
Tiger,2022-02-03T20:50:46.508788+00:00,2023-02-04T02:42:32.563476+00:00,2022,Ren,Yin,Water,Yang,Li-Chun-based (tropical sun lon=315°)
Hase,2023-02-04T02:42:32.563476+00:00,2024-02-04T08:27:07.954101+00:00,2023,Gui,Mao,Water,Yin,Li-Chun-based (tropical sun lon=315°)
Drache,2024-02-04T08:27:07.954101+00:00,2025-02-03T14:10:29.077148+00:00,2024,Jia,Chen,Wood,Yang,Li-Chun-based (tropical sun lon=315°)
Schlange,2025-02-03T14:10:29.077148+00:00,2026-02-03T20:02:08.100585+00:00,2025,Yi,Si,Wood,Yin,Li-Chun-based (tropical sun lon=315°)
